"Original Name","Search Keyword","Item Name on Carrefour","Price"
"كامينا شاور 400 ملى زهور","كامينا شاور 400 ملى زهور | كامينا شاور 400","",""
"فريده شاور جل كلير سكاى 250 مل","فريده شاور جل كلير سكاى 250 مل | فريده شاور جل كلير سكاى | فريده شاور جل","",""
"فريده شاور جل مون لايت 250 مل","فريده شاور جل مون لايت 250 مل | فريده شاور جل مون لايت | فريده شاور جل","",""
"فريده شاور جل سويت داي 250 مل","فريده شاور جل سويت داي 250 مل | فريده شاور جل سويت داي | فريده شاور جل","",""
"فريده شاور جل صن شاين 250 مل","فريده شاور جل صن شاين 250 مل | فريده شاور جل صن شاين | فريده شاور جل","",""
"فريده هاندووش توت برى 520 جرام","فريده هاندووش توت برى 520 جرام | فريده هاندووش توت برى 520 | فريده هاندووش توت","",""
"فريده هاندووش جوز هند 520 جرام","فريده هاندووش جوز هند 520 جرام | فريده هاندووش جوز هند 520 | فريده هاندووش جوز","",""
"فريده منظف ارضيات مشمش 480 مل","فريده منظف ارضيات مشمش 480 مل | فريده منظف ارضيات مشمش 480 | فريده منظف ارضيات","",""
"فريده منظف ارضيات جوز الهند 480 مل","فريده منظف ارضيات جوز الهند 480 مل | فريده منظف ارضيات جوز الهند | فريده منظف ارضيات","",""
"جليد معطر جو مالتى اسبراى الورد 460مل","جليد معطر جو مالتى اسبراى الورد 460مل | جليد معطر جو مالتى اسبراى | جليد معطر جو","",""
"جليد معطر جو مالتى اسبراى بطيخ 460مل","جليد معطر جو مالتى اسبراى بطيخ 460مل | جليد معطر جو مالتى اسبراى | جليد معطر جو","",""
"جليد معطر جو مالتى اسبراى خوخ 460مل","جليد معطر جو مالتى اسبراى خوخ 460مل | جليد معطر جو مالتى اسبراى | جليد معطر جو","",""
"جليد معطر جو مالتى اسبراى عطر الشرق 460مل","جليد معطر جو مالتى اسبراى عطر الشرق 460مل | جليد معطر جو مالتى اسبراى | جليد معطر جو","",""
"جليد معطر جو مالتى اسبراى أكوا 460مل","جليد معطر جو مالتى اسبراى أكوا 460مل | جليد معطر جو مالتى اسبراى | جليد معطر جو","",""
"جليد معطر جو مالتى اسبراى ليمون وبرتقال 460مل","جليد معطر جو مالتى اسبراى ليمون وبرتقال 460مل | جليد معطر جو مالتى اسبراى | جليد معطر جو","",""
"ماكرو اوروفكس مضمضه للمدخنين 250 مل","ماكرو اوروفكس مضمضه للمدخنين 250 مل | ماكرو اوروفكس مضمضه للمدخنين 250 | ماكرو اوروفكس مضمضه","",""
"ماكرو اوروفكس مضمضه موز 250 مل","ماكرو اوروفكس مضمضه موز 250 مل | ماكرو اوروفكس مضمضه موز 250 | ماكرو اوروفكس مضمضه","",""
"ماكرو اوروفكس مضمضه مسواك 250 مل","ماكرو اوروفكس مضمضه مسواك 250 مل | ماكرو اوروفكس مضمضه مسواك 250 | ماكرو اوروفكس مضمضه","",""
"ماكرو اوروفكس مضمضه فراوله 250 مل","ماكرو اوروفكس مضمضه فراوله 250 مل | ماكرو اوروفكس مضمضه فراوله 250 | ماكرو اوروفكس مضمضه","",""
"مويست-1 برومو باك (كريم + تونر + ميلك كلينزر)","مويست-1","",""
"ماليزيا اسبراى اومو فيتفر رجالي 150ملى","ماليزيا اسبراى اومو فيتفر رجالي 150ملى | ماليزيا اسبراى اومو فيتفر رجالي | ماليزيا اسبراى اومو","",""
"فلاى بيبى فرشه اسنان أطفال بغطاء FN-905","فلاى بيبى اسنان أطفال بغطاء FN-905 | فلاى بيبى اسنان أطفال بغطاء | فلاى بيبى اسنان","",""
"فلاى بيبى فرشه اسنان أطفال بغطاء FN-907","فلاى بيبى اسنان أطفال بغطاء FN-907 | فلاى بيبى اسنان أطفال بغطاء | فلاى بيبى اسنان","",""
"نونو عبوة سفر 50 مل علبة (صغيره) بها 5 منتجات مشكلة","نونو عبوة سفر 50 مل علبة بها 5 منتجات مشكلة | نونو عبوة سفر 50 مل | نونو عبوة سفر","",""
"ماكرو برينجو لوشن 120 ملى","ماكرو برينجو لوشن 120 ملى | ماكرو برينجو لوشن","",""
"ماكرو بريمو بلس لوشن 120 مل","ماكرو بريمو بلس لوشن 120 مل | ماكرو بريمو بلس لوشن 120 | ماكرو بريمو بلس","",""
"كوكو واكس وايت باست فانيليا جوز الهند 100 جم","كوكو واكس وايت باست فانيليا جوز الهند 100 جم | كوكو واكس وايت باست فانيليا | كوكو واكس وايت","",""
"كوكو واكس وايت باست رومان 100 جم","كوكو واكس وايت باست رومان 100 جم | كوكو واكس وايت باست رومان | كوكو واكس وايت","",""
"كوكو واكس وايت باست باشون فروت 100 جم","كوكو واكس وايت باست باشون فروت 100 جم | كوكو واكس وايت باست باشون | كوكو واكس وايت","",""
"فاتيكا جل بطرمان 250مل كبير (ازرق)","فاتيكا جل بطرمان 250مل كبير | فاتيكا جل بطرمان","",""
"فاتيكا جل بطرمان 250 مل كبير (اخضر)","فاتيكا جل بطرمان 250 مل كبير | فاتيكا جل بطرمان 250 مل | فاتيكا جل بطرمان","",""
"ريد ازرق سوبر حشرات طائرة 269 ملى","ريد ازرق سوبر حشرات طائرة 269 ملى | ريد ازرق سوبر حشرات طائرة | ريد ازرق سوبر","",""
"ديتول صابون 85 جرام جدد نشاطك ك18عرض4 ق","ديتول صابون 85 جرام جدد نشاطك ك18عرض4 ق | ديتول صابون 85 جرام جدد | ديتول صابون 85","",""
"ديتول صابون 115 جرام صابون المغذى لفه*4ق","ديتول صابون 115 جرام صابون المغذى 4ق | ديتول صابون 115 جرام صابون | ديتول صابون 115","",""
"ديتول صابون 115 جرام كول لبنى لفه*4ق","ديتول صابون 115 جرام كول لبنى 4ق | ديتول صابون 115 جرام كول | ديتول صابون 115","",""
"ديتول صابون 115 جرام اورجينال اصلى اخضر لفه*4ق","ديتول صابون 115 جرام اورجينال اصلى اخضر 4ق | ديتول صابون 115 جرام اورجينال | ديتول صابون 115","",""
"انفينتى اوميجا ار اكس مكمل غذائى لضعف المناعه والتركيز شرنك (60+30 علكه)","انفينتى اوميجا ار اكس مكمل غذائى لضعف المناعه والتركيز شرنك | انفينتى اوميجا ار اكس مكمل | انفينتى اوميجا ار","",""
"مويست-1 كريم مرطب 100 مل","مويست-1 كريم مرطب 100 مل | مويست-1 كريم مرطب","",""
"مويست-1 بيبى نابى كريم زنك 150 مل","مويست-1 بيبى نابى كريم زنك 150 مل | مويست-1 بيبى نابى كريم زنك | مويست-1 بيبى نابى","",""
"بالمرز كريم 150 جرام بالبرجموت","بالمرز كريم 150 جرام بالبرجموت | بالمرز كريم 150","",""
"بالمرز كريم 150 جرام بجوز الهند","بالمرز كريم 150 جرام بجوز الهند | بالمرز كريم 150 جرام بجوز | بالمرز كريم 150","",""
